,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,window_data,og_window_index,label,subject
0,94.48818897637796,635.0,13.65283853270081,13.718144918318949,22.433234274174556,0.25,0.0,6.0,14.88602532578794,7.006693228620738,327.67380900966356,2.1245436099559685,0.31496062992125984,"[ 1.72276445e-03  1.74921812e-03  1.77543134e-03 ... -1.49377206e-05
 -1.24486414e-05 -1.02534705e-05]",0,4,sub10
1,84.79366873940079,707.6,18.183509012289132,9.229707470987366,15.337861650177967,0.25,0.0,8.0,6.526388741103307,19.179253113716413,393.237115833267,0.3402837796866987,0.28264556246466926,"[4.65837286e-03 4.59430217e-03 4.52967699e-03 ... 4.18525723e-06
 3.55392636e-06 2.98193618e-06]",1,4,sub10
2,79.82969664715274,751.6,21.767866225241278,13.198011213815512,21.324868112136123,0.5,0.0,8.0,12.086924753633571,23.618716095503558,896.8544698575655,0.5117519811305338,0.2660989888238425,"[ 2.08055712e-03  2.01189542e-03  1.94294486e-03 ... -1.26156824e-06
 -1.07205688e-06 -9.00253341e-07]",2,4,sub10
3,75.24454477050413,797.4,16.511813952440235,16.0312195418814,26.419689627245813,0.25,0.0,14.0,18.560711193270585,11.000000000000023,641.4121332319892,1.6873373812064132,0.2508151492350138,"[-5.59161731e-03 -5.49676589e-03 -5.40046846e-03 ... -1.65641751e-05
 -1.38356993e-05 -1.14218640e-05]",3,4,sub10
4,76.41365257259297,785.2,11.634431657799189,7.22841614740048,11.937336386313323,0.25,0.0,5.0,6.837397165588672,11.274972283779633,242.18997549668762,0.6064225253506892,0.25471217524197654,"[4.35172773e-03 4.29855790e-03 4.24503032e-03 ... 5.25701154e-06
 4.38710168e-06 3.61861015e-06]",4,6,sub10
5,74.57121551081282,804.6,10.499523798725349,8.558621384311845,19.480759738778158,0.25,0.0,10.0,13.66107609231425,8.470537173048664,363.5345865348962,1.612775649669623,0.2485707183693761,"[1.32699168e-03 1.29167025e-03 1.25568400e-03 ... 1.48365777e-06
 1.24579741e-06 1.03387001e-06]",5,7,sub10
6,75.18796992481202,798.0,14.615060725156088,3.2691742076555053,19.525624189766635,0.25,0.0,15.0,13.75113631668307,13.678221741147516,590.9055919919955,1.005330705768295,0.2506265664160401,"[-9.00300805e-03 -9.03017931e-03 -9.05673213e-03 ... -1.58430129e-05
 -1.33509616e-05 -1.11192784e-05]",6,7,sub10
7,76.02635580334515,789.2,17.792133093027378,7.176350047203662,21.24852936087578,0.75,0.0,18.0,14.512925273699992,17.895530168173316,815.9234234841957,0.8109804592160567,0.25342118601115055,"[7.71114357e-03 7.79749172e-03 7.88351085e-03 ... 1.90365459e-05
 1.59565984e-05 1.32191849e-05]",7,7,sub10
8,75.07507507507508,799.2,14.985326155943353,8.78564169540279,24.387496796514398,0.5,0.0,13.0,16.840241981634346,12.443622864744876,658.3321136607941,1.3533230767822384,0.2502502502502503,"[2.31294935e-03 2.34525693e-03 2.37740357e-03 ... 1.54139852e-06
 1.26567637e-06 1.02713854e-06]",8,4,sub10
9,74.42322004465393,806.2,14.783774890061062,11.683321445547923,19.013153341831543,0.5,0.0,12.0,13.275918047351754,16.81145442845444,701.1641828808372,0.7896947943350714,0.24807740014884647,"[-3.61554320e-03 -3.68730276e-03 -3.75948354e-03 ...  2.15045930e-06
  1.82452560e-06  1.52982183e-06]",9,4,sub10
10,74.88766849725411,801.2,11.249888888340186,11.755317945508747,18.472953201911167,0.5,0.0,2.0,13.032411518978366,10.855586119597604,444.4551417690456,1.2005258283982416,0.2496255616575137,"[-8.61111403e-03 -8.58799274e-03 -8.56377274e-03 ... -2.55846604e-05
 -2.14261148e-05 -1.77343520e-05]",10,4,sub10
11,74.32641684732116,807.25,7.628073151196179,8.73053390247253,14.571661996262929,0.3333333333333333,0.0,3.5,10.170764201594904,4.041451884327413,129.1340794984039,2.5166114784235627,0.3096934035305048,"[8.24267648e-03 8.24321364e-03 8.24320612e-03 ... 7.59668251e-06
 6.43516348e-06 5.38698549e-06]",11,4,sub10
12,74.0009866798224,810.8,9.744742172063868,9.858372076565177,16.1167614612862,0.5,0.0,1.0,11.383925070027473,9.032925882569822,323.05044823808265,1.2602699521750977,0.24666995559940796,"[3.19710392e-03 3.16881367e-03 3.14036753e-03 ... 1.24916086e-05
 1.04449676e-05 8.63152244e-06]",12,4,sub10
13,74.47864945382324,805.6,12.799999999999999,11.715374513859981,18.641351882307248,0.25,0.0,12.0,13.062350477613132,9.682458365518567,397.335018938979,1.3490737563232007,0.24826216484607744,"[2.04716325e-03 2.03090126e-03 2.01423542e-03 ... 1.11476527e-06
 9.35318331e-07 7.75541627e-07]",13,4,sub10
14,74.386312918423,806.6,11.706408501329518,12.98075498574717,22.192341021172147,0.5,0.0,2.0,15.692354826475214,9.178779875342915,452.5045464495087,1.7096340733292674,0.24795437639474335,"[-4.52159049e-03 -4.59199475e-03 -4.66253918e-03 ... -1.35419806e-06
 -1.14499260e-06 -9.56719063e-07]",14,4,sub10
15,74.81296758104739,802.0,16.492422502470642,14.7648230602334,23.280893453645632,0.25,0.0,14.0,16.217274740226852,13.209844813622905,673.016113909165,1.227665802970106,0.24937655860349128,"[-6.05983687e-03 -5.98097879e-03 -5.90086458e-03 ... -2.10255958e-05
 -1.75626188e-05 -1.44987529e-05]",15,4,sub10
16,72.46376811594203,828.0,9.273618495495704,9.428090415820634,18.0,0.6666666666666666,0.0,1.0,12.719189352225941,6.66666666666672,266.39007885713903,1.9078784028338758,0.3019323671497584,"[ 6.20920799e-03  6.15586477e-03  6.10203143e-03 ... -2.40470721e-06
 -1.95448797e-06 -1.56873856e-06]",16,4,sub10
